DeviceName,DeviceDateTime,BatteryStatus,CommId,Latitude,Longitude
0-4407230,12/10/2022 12:04:00,LOW,0-4407230,43.08582,5.96225
0-4407230,12/10/2022 11:59:00,LOW,0-4407230,43.08512,5.96628
0-4407230,12/10/2022 11:54:00,LOW,0-4407230,43.08493,5.96669
0-4407230,12/10/2022 11:49:00,LOW,0-4407230,43.0847,5.96721
0-4407230,12/10/2022 11:44:00,LOW,0-4407230,43.08452,5.9677
0-4407230,12/10/2022 11:39:00,LOW,0-4407230,43.08434,5.96811
0-4407230,12/10/2022 11:34:00,LOW,0-4407230,43.08416,5.9686
0-4407230,12/10/2022 11:29:00,LOW,0-4407230,43.08397,5.96907
0-4407230,12/10/2022 11:24:00,LOW,0-4407230,43.08379,5.96957
0-4407230,12/10/2022 11:19:00,LOW,0-4407230,43.08362,5.97
0-4407230,12/10/2022 11:14:00,LOW,0-4407230,43.08339,5.97051
0-4407230,12/10/2022 11:09:00,LOW,0-4407230,43.08318,5.97088
0-4407230,12/10/2022 11:04:00,LOW,0-4407230,43.08274,5.97139
0-4407230,12/10/2022 10:59:00,LOW,0-4407230,43.08258,5.97193
0-4407230,12/10/2022 10:54:00,LOW,0-4407230,43.08242,5.97246
0-4407230,12/10/2022 10:49:00,LOW,0-4407230,43.08229,5.97294
0-4407230,12/10/2022 10:44:00,LOW,0-4407230,43.08208,5.97356
0-4407230,12/10/2022 10:39:00,LOW,0-4407230,43.08187,5.97394
0-4407230,12/10/2022 10:34:00,LOW,0-4407230,43.08177,5.97431
0-4407230,12/10/2022 10:29:00,LOW,0-4407230,43.08143,5.97485
0-4407230,12/10/2022 10:24:00,LOW,0-4407230,43.08136,5.97525
0-4407230,12/10/2022 10:19:00,LOW,0-4407230,43.08116,5.9756
0-4407230,12/10/2022 10:14:00,LOW,0-4407230,43.08092,5.97607
0-4407230,12/10/2022 10:09:00,LOW,0-4407230,43.08058,5.97641
0-4407230,12/10/2022 10:04:00,LOW,0-4407230,43.08036,5.97688
0-4407230,12/10/2022 9:59:00,LOW,0-4407230,43.08017,5.97738
0-4407230,12/10/2022 9:54:00,LOW,0-4407230,43.08013,5.9777
0-4407230,12/10/2022 9:49:00,LOW,0-4407230,43.08007,5.978
0-4407230,12/10/2022 9:44:00,LOW,0-4407230,43.07974,5.97847
0-4407230,12/10/2022 9:39:00,LOW,0-4407230,43.07986,5.97836
0-4407230,12/10/2022 9:34:00,LOW,0-4407230,43.07972,5.97894
0-4407230,12/10/2022 9:29:00,LOW,0-4407230,43.07965,5.97924
0-4407230,12/10/2022 9:24:00,LOW,0-4407230,43.07955,5.97955
0-4407230,12/10/2022 9:19:00,LOW,0-4407230,43.07951,5.97978
0-4407230,12/10/2022 9:14:00,LOW,0-4407230,43.07945,5.98008
0-4407230,12/10/2022 9:09:00,LOW,0-4407230,43.07931,5.98049
0-4407230,12/10/2022 9:04:00,LOW,0-4407230,43.07927,5.98058
0-4407230,12/10/2022 8:59:00,LOW,0-4407230,43.07919,5.98083
0-4407230,12/10/2022 8:54:00,LOW,0-4407230,43.07911,5.98103
0-4407230,12/10/2022 8:49:00,LOW,0-4407230,43.07906,5.98124
0-4407230,12/10/2022 8:44:00,LOW,0-4407230,43.07903,5.98152
0-4407230,12/10/2022 8:39:00,LOW,0-4407230,43.07895,5.98173
0-4407230,12/10/2022 8:34:00,LOW,0-4407230,43.07883,5.98199
0-4407230,12/10/2022 8:29:00,LOW,0-4407230,43.07871,5.98225
0-4407230,12/10/2022 8:24:00,LOW,0-4407230,43.07872,5.98253
0-4407230,12/10/2022 8:19:00,LOW,0-4407230,43.07864,5.98279
0-4407230,12/10/2022 8:14:00,LOW,0-4407230,43.07865,5.98304
0-4407230,12/10/2022 8:09:00,LOW,0-4407230,43.07851,5.98354
0-4407230,12/10/2022 8:04:00,LOW,0-4407230,43.07832,5.98399
0-4407230,12/10/2022 7:59:00,LOW,0-4407230,43.07835,5.98422
0-4407230,12/10/2022 7:54:00,LOW,0-4407230,43.07734,5.97223
0-4407230,12/10/2022 7:49:00,LOW,0-4407230,43.07713,5.97276
0-4407230,12/10/2022 7:44:00,LOW,0-4407230,43.07705,5.97208
0-4407230,12/10/2022 7:39:00,LOW,0-4407230,43.08199,5.95654
0-4407230,12/10/2022 7:34:00,LOW,0-4407230,43.08631,5.94056
0-4407230,12/10/2022 7:29:00,LOW,0-4407230,43.08769,5.92545
0-4407230,12/10/2022 7:24:00,LOW,0-4407230,43.09665,5.91869
0-4407230,12/10/2022 7:19:00,LOW,0-4407230,43.10374,5.9091
0-4407230,12/10/2022 7:14:00,LOW,0-4407230,43.10574,5.89545
0-4407230,12/10/2022 7:10:00,LOW,0-4407230,43.10444,5.88644
0-4408436,12/10/2022 10:36:00,LOW,0-4408436,43.07852,5.95566
0-4408436,12/10/2022 10:31:00,LOW,0-4408436,43.07803,5.95369
0-4408436,12/10/2022 10:26:00,LOW,0-4408436,43.07777,5.9544
0-4408436,12/10/2022 10:21:00,LOW,0-4408436,43.07745,5.9551
0-4408436,12/10/2022 10:16:00,LOW,0-4408436,43.07714,5.95583
0-4408436,12/10/2022 10:11:00,LOW,0-4408436,43.07685,5.95667
0-4408436,12/10/2022 10:07:00,LOW,0-4408436,43.07663,5.9574
0-4408436,12/10/2022 10:01:00,LOW,0-4408436,43.07633,5.9583
0-4408436,12/10/2022 9:56:00,LOW,0-4408436,43.07614,5.9591
0-4408436,12/10/2022 9:51:00,LOW,0-4408436,43.07601,5.95983
0-4408436,12/10/2022 9:46:00,LOW,0-4408436,43.07585,5.96045
0-4408436,12/10/2022 9:41:00,LOW,0-4408436,43.07579,5.96109
0-4408436,12/10/2022 9:36:00,LOW,0-4408436,43.07578,5.96169
0-4408436,12/10/2022 9:31:00,LOW,0-4408436,43.07579,5.96219
0-4408436,12/10/2022 9:26:00,LOW,0-4408436,43.07585,5.96264
0-4408436,12/10/2022 9:21:00,LOW,0-4408436,43.07594,5.96307
0-4408436,12/10/2022 9:16:00,LOW,0-4408436,43.076,5.96345
0-4408436,12/10/2022 9:11:00,LOW,0-4408436,43.0761,5.96386
0-4408436,12/10/2022 9:06:00,LOW,0-4408436,43.07614,5.9642
0-4408436,12/10/2022 9:01:00,LOW,0-4408436,43.07626,5.9648
0-4408436,12/10/2022 8:56:00,LOW,0-4408436,43.07629,5.96532
0-4408436,12/10/2022 8:51:00,LOW,0-4408436,43.07633,5.96583
0-4408436,12/10/2022 8:46:00,LOW,0-4408436,43.07635,5.96646
0-4408436,12/10/2022 8:41:00,LOW,0-4408436,43.07642,5.96704
0-4408436,12/10/2022 8:36:00,LOW,0-4408436,43.07646,5.96759
0-4408436,12/10/2022 8:31:00,LOW,0-4408436,43.07651,5.96813
0-4408436,12/10/2022 8:26:00,LOW,0-4408436,43.07653,5.96873
0-4408436,12/10/2022 8:21:00,LOW,0-4408436,43.07665,5.96918
0-4408436,12/10/2022 8:16:00,LOW,0-4408436,43.07665,5.96978
0-4408436,12/10/2022 8:11:00,LOW,0-4408436,43.07672,5.97034
0-4408436,12/10/2022 8:07:00,LOW,0-4408436,43.0768,5.97094
0-4408436,12/10/2022 8:01:00,LOW,0-4408436,43.07668,5.97191
0-4408436,12/10/2022 7:56:00,LOW,0-4408436,43.07685,5.97244
0-4408436,12/10/2022 7:51:00,LOW,0-4408436,43.07719,5.9727
0-4408436,12/10/2022 7:46:00,LOW,0-4408436,43.07722,5.97352
0-4408436,12/10/2022 7:41:00,LOW,0-4408436,43.07945,5.96304
0-4408436,12/10/2022 7:36:00,LOW,0-4408436,43.0846,5.94757
0-4408436,12/10/2022 7:31:00,LOW,0-4408436,43.08777,5.93174
0-4408436,12/10/2022 7:26:00,LOW,0-4408436,43.09223,5.92071
0-4408436,12/10/2022 7:21:00,LOW,0-4408436,43.10217,5.91498
0-4408436,12/10/2022 7:16:00,LOW,0-4408436,43.10532,5.90122
0-4408436,12/10/2022 7:11:00,LOW,0-4408436,43.10477,5.88893
0-4408436,12/10/2022 7:06:00,LOW,0-4408436,43.10528,5.88562
0-4410119,12/10/2022 11:11:00,GOOD,0-4410119,43.08366,5.95759
0-4410119,12/10/2022 11:07:00,GOOD,0-4410119,43.08342,5.95843
0-4410119,12/10/2022 11:01:00,GOOD,0-4410119,43.08297,5.95946
0-4410119,12/10/2022 10:56:00,GOOD,0-4410119,43.08281,5.96034
0-4410119,12/10/2022 10:51:00,GOOD,0-4410119,43.08254,5.96113
0-4410119,12/10/2022 10:46:00,GOOD,0-4410119,43.08228,5.96197
0-4410119,12/10/2022 10:41:00,GOOD,0-4410119,43.08194,5.96285
0-4410119,12/10/2022 10:36:00,GOOD,0-4410119,43.08163,5.96375
0-4410119,12/10/2022 10:31:00,GOOD,0-4410119,43.08129,5.96455
0-4410119,12/10/2022 10:26:00,GOOD,0-4410119,43.081,5.96543
0-4410119,12/10/2022 10:21:00,GOOD,0-4410119,43.08068,5.96633
0-4410119,12/10/2022 10:16:00,GOOD,0-4410119,43.08035,5.96723
0-4410119,12/10/2022 10:11:00,GOOD,0-4410119,43.08007,5.96811
0-4410119,12/10/2022 10:07:00,GOOD,0-4410119,43.07985,5.96888
0-4410119,12/10/2022 10:01:00,GOOD,0-4410119,43.07952,5.96972
0-4410119,12/10/2022 9:56:00,GOOD,0-4410119,43.07925,5.97051
0-4410119,12/10/2022 9:51:00,GOOD,0-4410119,43.079,5.97131
0-4410119,12/10/2022 9:46:00,GOOD,0-4410119,43.07877,5.97206
0-4410119,12/10/2022 9:41:00,GOOD,0-4410119,43.07856,5.97275
0-4410119,12/10/2022 9:36:00,GOOD,0-4410119,43.07841,5.97349
0-4410119,12/10/2022 9:31:00,GOOD,0-4410119,43.0783,5.97409
0-4410119,12/10/2022 9:26:00,GOOD,0-4410119,43.07823,5.97467
0-4410119,12/10/2022 9:21:00,GOOD,0-4410119,43.07819,5.97517
0-4410119,12/10/2022 9:16:00,GOOD,0-4410119,43.07822,5.9757
0-4410119,12/10/2022 9:11:00,GOOD,0-4410119,43.07823,5.9762
0-4410119,12/10/2022 9:06:00,GOOD,0-4410119,43.07823,5.97663
0-4410119,12/10/2022 9:01:00,GOOD,0-4410119,43.07827,5.97714
0-4410119,12/10/2022 8:56:00,GOOD,0-4410119,43.07835,5.97779
0-4410119,12/10/2022 8:51:00,GOOD,0-4410119,43.07832,5.9783
0-4410119,12/10/2022 8:46:00,GOOD,0-4410119,43.07833,5.97888
0-4410119,12/10/2022 8:41:00,GOOD,0-4410119,43.07833,5.97946
0-4410119,12/10/2022 8:36:00,GOOD,0-4410119,43.0783,5.98004
0-4410119,12/10/2022 8:31:00,GOOD,0-4410119,43.07835,5.9806
