Station,Type,DrogDepth,Id,Deployment,Lon,Lat, Recovery,Lon,Lat
1,"	Yellow 1m",1,274,9:47,5º 58.363',43º 4.655',12:40,5º 57.564',43º 4.783'
1,White surface,0,8436,9:47,5º 58.363',43º 4.655',12:32,5º 57.185',43º 4.708'
1,White 60cm,0.6,6439,9:47,5º 58.363',43º 4.655',12:42,5º 57.571',43º 4.803'
2,"	Yellow 1m",1,273,9:59,5º 59.055',43º 4.723',14:03,5º 57.743',43º 5.145'
2,White 60cm,0.6,7230,9:59,5º 59.055',43º 4.723',13:59,5º 57.955',43º 5.144'
2,White surface,0,119,9:59,5º 59.055',43º 4.723',14:12,5º 56.777',43º 5.185'
3,"	Yellow 1m",1,277,10:16,5º 59.956',43º 4.809',13:45,5º 58.864',43º 5.309'
3,White surface,0,2052,10:16,5º 59.956',43º 4.809',13:52,5º 58.161',43º 5.361'
3,White 60cm,0.6,3368,10:16,5º 59.956',43º 4.809',13:43,5º 59.034',43º 5.274'
4,White 60cm,0.6,9666,10:55,6º 0.678',42º 59.547',,,
5,CTD 1,,,10:57,6º 0.596',42º 59.522',11:21,,
6,CTD 2,,,12:49,5º 58.351',43º 4.69',12:56,5º 58.356',43º 4.648'
7,CTD 3,,,13:04,5º 58.957',43º 4.696',13:09,5º 58.92',43º 4.717'
8,CTD 4,,,13:24,6º 0.633',43º 4.863',13:28,6º 0.612',43º 4.851'
